CF1.PA,AM MSCI FRA UCI ETF,PAR
RVL.AX,Russell Australian Value ETF,ASX
UC01.L,UBS(Irl)ETFplc- MSCI USA Infr20/35$A-dis,LSE
EXXY.DE,ISH DVCMSP T,GER
LCRW.L,OSSIAM LUX OSSIAM RISK WGHT COM,LSE
PSM.MI,POWSHS MID EAST USD,MIL
78BA.L,SZHUA/HSBC WT20,LSE
UEFR.F,UBS ETF MIE LC AD,FRA
XS8S.L,,
ETP.TO,FT Global Risk Managed Income ETF Com,TOR
HFD.TO,HorizonsBetaPro S&P;/TSX Cap F Bear+ ETF,TOR
KX1G.F,A RATED GR UC ETF C,FRA
BOT-FP.PA,,
TCOIL-87.TA,TA-OG/TACH CMP S87,TLV
XSNR.MI,DBXT SE600 IG 1C,MIL
CSD,Guggenheim Spin-Off ETF,PCX
X502.F,COMS ILSD1-3 IC,FRA
EUN1.HM,ISHS STOXX EURO EUR,HAM
DBX8.DU,DBXT MSCI KOREA 1C,DUS
18MJ.BE,AM MSCI GERM UC ETF,BER
JUNR,Global X Junior Miners ETF,PCX
SYBC.F,SPDR BAR COR BD EUR,FRA
FXB,CurrencyShares British Pound Ster ETF,PCX
IUSC.SG,ISHS MSCI EM L G-CT,STU
VPL,Vanguard FTSE Pacific ETF,PCX
LYPM.DE,L U ETF E/N US D EU,GER
6AQQ.DU,AM NASD-100 ETF EUR,DUS
SCHX,Schwab US Large-Cap ETF,PCX
C100.F,COMS C EONIA IC,FRA
CEBM.SG,ISHS MSCI AU USD-AC,STU
RPV,Guggenheim S&P; 500 Pure Value ETF,PCX
10ZB.L,NSGB/HSBC 14 ELN,LSE
ECOEUA.MI,UBS ETF MIE LC AD,MIL
USCI,United States Commodity ETF,PCX
LTNG.L,CODEIS SECURITIES SA LYXOR ETN ,LSE
XMEA.L,DB X-TRACKERS DBX MSCI EMERGING,LSE
LYM8.BE,L U ETF W WAT D EUR,BER
H411.F,HSBC MSCI ACFE G-CT,FRA
46OI.L,TECH/HSBC BK 16 ELN,LSE
LONG-USD-F-S.ST,CURRENCY/SEB 20,STO
AMU,UBS ETRACS Alerian MLP ETN,PCX
DX2E.SG,DBX GLBL INFRA 1C,STU
GXG.MX,GLB X MSCI COLOMBIA,MEX
139250.KS,TIGER ENERGY&,KSC
IWV,iShares Russell 3000,PCX
LYPP.SG,L U ETF GL DEV D EU,STU
VE44.BE,MKT VCTR EGYPT INDX,BER
C061.DE,COMS S600 AP IC,GER
BEAR-OBX-X3-DNM.OL,OBX/DNB 41 ETN,OSL
IBCA.DU,ISHS EU GOV BD G-CT,DUS
CI1.MI,AM MSCI IT MSCI ETF,MIL
AICB.SG,AVANA INT EUCTR R,STU
LYYR.F,L U ETF 600 F & BEV,FRA
UTIW.L,MULTI UNITS LUXEMBOURG LYXOR ET,LSE
EBND,SPDR Barclays Emerging Mkts Lcl Bd ETF,PCX
RZG,Guggenheim S&P; SmallCap 600 Pure Gr ETF,PCX
18MQ.F,A WLD EX EU ETF EUR,FRA
IUSA.MU,ISHS S&P500; USD,MUN
BOM,PowerShares DB Base Metals Dble Shrt ETN,PCX
XDEQ.F,DBX QA FC USD-1C-AC,FRA
IJPN.L,ISHARES PLC ISHARES MSCI JAPAN ,LSE
CYH-A.TO,ISHARES GLOBAL MONTHLY DIV IDX ,TOR
DBZJ.DE,DBXT SE600 BRS 1CC,GER
3001.HK,iShares CSI A-Share Consmr Discr,HKG
VIXM,ProShares VIX Mid-Term Futures,PCX
LYPB.F,MUL LY W CO STA CC,FRA
X4MC.DE,DBXT MSCI CHILE 1C,GER
ZGLDUS.SW,ZKB GOLD ETF AA USD,EBS
EXHJ.BE,IS EGBC5.5-10.5,BER
N400.L,Source JPX-Nikkei 400 ETF,LSE
6PSK.HM,POWSHS FTSE E-M EUR,HAM
LYQ2.SG,L UCITS 1-3Y INV GR,STU
DX2A.MU,DBXT SE6 OG SH 1C,MUN
540S.DE,AM GRAD 3-5 ETF C,GER
14547777.SW,UBS ETF MIE 510 AD,EBS
LQD,iShares iBoxx $ Invst Grade Crp Bond,PCX
RTSE.MI,RBS M A TOP EUR C,MIL
CEBB.F,ISHS MSCI RU USD-AC,FRA
18MZ.F,A GR 5-7 UC ETF C,FRA
S2GBBH.SW,UBS ETF MS2035G AC,EBS
LYM6.SG,L UCITS 7-10Y IN GR,STU
HMFE.L,HSBC ETFS PLC HSBC MSCI EM FAR ,LSE
OSX2.DE,OL US MV UE1CC,GER
IPF,SPDR S&P; International Fincl Sect ETF,PCX
92JE.L,SAIC/HSBC WT19,LSE
138910.KS,KODEX Copper Futures(H),KSC
49EE.L,CHONQ/HSBC 17,LSE
S6EW.MI,OL SE600 EW UE1CC,MIL
CID1.L,ISHARES VII PLC ISHARES DJ INDU,LSE
CINA.MI,L UCIT CH ENT C EUR,MIL
QQQ3.L,Boost NASDAQ 100_ 3x Leverage Daily ETP,LSE
195980.KS,ARIRANG SYNTH-EM(H),KSC
2632953.SW,L UC ETF E600 B RES,EBS
ETZ.PA,S E600 UC ETF C EUR,PAR
10280341.DU,DK MSCI JP MC,DUS
SD7C.HM,SEC SPDR HEALTH-SBI,HAM
IMET.L,iPath S&P; GSCI IndusMtls Idx TR (DE) ETN,LSE
46UL.L,,
M9SY.F,RBS M A FR MKTS C,FRA
IWX,iShares Russell Top 200 Value,PCX
BJK,Market Vectors Gaming ETF,PCX
X012.DU,COMS M EMU IC,DUS
DXET.DU,DBXT ES50 1C,DUS
LGQI.DE,MUL LY SG GQIN D,GER
LYAU2.SW,MUL LY ASPA200 D,EBS
17NG.L,BARCLAYS/BARCLAYS19,LSE
LSIL.MI,LSIL/ETFS,MIL
GGOV,ProShares German Sovereign/Sub-Sovereign,PCX
MDD,SPDR S&P; International Mid Cap ETF,PCX
ZDY.TO,BMO US Dividend ETF (CAD),TOR
EMEY,iShares MSCI Emerging Mkts Energy Capped,PCX
XLDX.L,DB X-TRACKERS DBX LEVDAX DAILY ,LSE
JKD,iShares Morningstar Large-Cap,PCX
